"Age","Mean","CI","Infe","Supe"
-29,0.029526199116914,0.9,0.0220611601024125,0.0365607960397097
-28,0.0302940191103558,0.9,0.0226246544714022,0.0379712156543025
-27,0.0307910317018369,0.9,0.0229023093452626,0.0383433097619626
-26,0.0312880442933179,0.9,0.0230065817902845,0.0392980893407905
-25,0.0313458931903545,0.9,0.0227192147511884,0.0394119742568934
-24,0.0313449054567605,0.9,0.0234871016656362,0.0397572608558022
-23,0.0313439177231665,0.9,0.0221919427825538,0.0401271336354753
-22,0.0313429299895725,0.9,0.0225982978094525,0.0406140347240261
-21,0.0308951732143118,0.9,0.0222092551412505,0.039472901329902
-20,0.0304474164390511,0.9,0.0217659805189889,0.0390074991952251
-19,0.0299996596637904,0.9,0.021529384642271,0.0381675598692209
-18,0.0295519028885297,0.9,0.0209722851494052,0.0372550083957712
-17,0.0294293283859963,0.9,0.0217093939243332,0.0373461473806109
-16,0.0293067538834629,0.9,0.0217876389130184,0.0366655320631316
-15,0.0291841793809295,0.9,0.0219057995111045,0.0365719545852461
-14,0.029061604878396,0.9,0.0220987508167958,0.0361658436835149
-13,0.0289390303758626,0.9,0.0215724518822182,0.0361836693592993
-12,0.0288164558733292,0.9,0.0215446055816568,0.0359256161680373
-11,0.0286938813707958,0.9,0.021509977000493,0.0359827863378801
-10,0.0288412048290467,0.9,0.0216439010096376,0.0359564748834527
-9,0.0289885282872976,0.9,0.0216667565404397,0.0367979571257071
-8,0.0291358517455485,0.9,0.0211840955684769,0.0371218485115043
-7,0.0293608501482438,0.9,0.021340992478702,0.0375307249278052
-6,0.0295858485509392,0.9,0.0208934400883236,0.037864828115271
-5,0.0298108469536345,0.9,0.0213492276570455,0.0385928200680814
-4,0.0300358453563299,0.9,0.0211207192906537,0.0390918191664245
-3,0.0302608437590252,0.9,0.0206151055545667,0.0396507304759469
-2,0.0304858421617205,0.9,0.020151512288129,0.0396718718269325
-1,0.0309348238310826,0.9,0.0200393900812644,0.0415104847429065
0,0.0313838055004446,0.9,0.0210164560526527,0.0422435327542182
1,0.0318327871698066,0.9,0.0207780420667692,0.0435458761691583
2,0.0322817688391686,0.9,0.0207374313170359,0.043746651839193
3,0.0327307505085306,0.9,0.0203829271319892,0.0445612375030367
4,0.0331797321778926,0.9,0.0195392108959117,0.0455933123531955
5,0.0333569073245273,0.9,0.0206003703043318,0.0456109440928438
6,0.0335340824711621,0.9,0.0203129341119491,0.0462788586943973
