Profondeur,Abies,Cupressaceae,Larix,Picea,Pinus,Alnus,Betula,Fraxinus,Populus,Quercus,Salix,Ulmus,Ambrosia,Artemisia,Asteraceae,Chenopodium,Cyperaceae,Myrica,Poacea,Typha,Aquatics
8938,0.771624249,2.196163202,0.242152947,7.103753915,61.70803741,0.93447302,9.969216748,0,0.454182231,0.953042385,0.833837389,0.429156699,1.610294632,2.481071954,0.372209619,1.841897492,0.539792335,0,4.638732418,0.134493397,0.064449666
9038,1.081315805,1.99014419,0.337838669,9.406103912,60.67722526,0.85965811,9.97616382,0,0.259102382,0.995871946,1.182181661,0.543172478,1.203369665,1.98281744,0.202321605,1.37693519,0.537022006,0,5.707263068,0.113734446,0.091575949
9138,1.391007361,1.841869308,0.341420374,10.23740093,57.97657227,0.818011863,11.09345213,0,0.254441314,1.05918536,1.555101401,0.717832779,0.923426545,1.690963982,0.156515047,1.101994595,0.628859009,0,7.000296179,0.150719626,0.072848761
9238,1.282832275,2.184258394,0.307424292,9.523427428,56.00549979,0.693499789,12.37535122,0,0.214339347,1.04826357,1.414425431,0.781288345,1.188951682,1.982455401,0.302294873,1.312691305,0.649518064,0.151559597,6.590986882,0.188625175,0.054121573
9338,1.108553481,2.613080538,0.270599774,8.718810957,53.96558736,0.550375109,13.71914262,0,0.171569784,1.031754183,1.183114923,0.836373662,1.507908994,2.37973157,0.462495179,1.581598272,0.664819639,0.314526906,5.960728236,0.2266,0.035394385
9438,0.950675736,3.089621045,0.452596889,9.822957308,49.5007283,0.40685087,15.03387964,0,0.192919634,1.170632683,0.951804416,1.031930603,1.855500155,2.837930677,0.446624847,1.738554012,0.680407322,0.316339839,5.695988099,0.389444518,0.016667197
9538,0.967341787,2.865038105,0.800713651,9.585055162,24.93559511,0.462287272,11.30383077,0,0.10203885,1.445905565,0.784316842,0.729869097,1.408859306,2.711066736,0,1.294108047,0.2040777,0.105938137,4.757165074,0.494597101,0.003899287
9638,1.112588301,2.293770484,0.541863484,7.412706232,29.24372786,0.635499693,10.5199098,0,0.097534629,1.056223733,1.002179688,0.92115595,1.141413224,2.903955451,0,1.376255054,0.195069258,0.157138016,4.777299585,0.249259597,0.059603387
9738,1.257834816,1.782637078,0.347328987,6.010347643,32.40505069,0.849950715,9.928309199,0,0.077351485,0.787775097,1.220042534,0.850866337,1.136978814,3.126387573,0,1.423629796,0.192626017,0.173664494,4.536492848,0.077351485,0.077351485
9838,1.277515338,1.70259578,0.262304957,5.82617655,33.7933996,1.022576862,9.365192344,0,0.030471797,0.790698527,1.249562379,0.335189769,1.647644353,3.197325335,0,1.503334301,0.201361363,0.131152479,3.9708586,0.030471797,0.09490909
9938,1.161166036,1.855177272,0.251733273,5.954968158,34.9481144,1.043969263,8.591163941,0,0.022843567,0.869328194,1.075043974,0.091374269,1.951428334,2.951468553,0,1.612367103,0.217467922,0.091601286,3.660051583,0.011421784,0.210103438
10038,1.044816734,1.778456582,0.379430233,6.851836163,35.30739311,1.009916741,8.026963264,0,0.088110902,0.957886016,0.900525569,0.352443609,1.735664354,2.523277395,0,1.591703841,0.24726388,0.057548763,3.582117067,0.044055451,0.376981466
10138,0.928467431,1.701735892,0.507127193,7.748704168,35.66667181,0.975864218,7.462762587,0,0.153378237,1.046443838,0.726007163,0.613512949,1.519900374,2.095086238,0,1.57104058,0.277059837,0.023496241,3.50418255,0.076689119,0.543859495
10238,0,0.180080085,0.601295126,7.255942559,17.05889132,0.020351624,3.163119565,0,0.180080085,0.441566664,0,0.679617094,0.339808547,0.261486579,0.040703247,0.419672778,0.300647563,0.020351624,1.041319527,0.161270725,0.100215854
10338,0,0.120942623,0.620833935,11.78100048,13.84384542,0.086002022,2.486034701,0,0.120942623,0.585893334,0,0.311766448,0.155883224,0.464950711,0.172004044,0.173353525,0.310416968,0.086002022,0.880189482,0.361478389,0.103472323
