"Age","Mean","CI","Infe","Supe"
185,0.004106346,0.9,0.00254340728386111,0.00564794577052661
186,0.004106911,0.9,0.00260729621875058,0.00559842865445596
187,0.004107476,0.9,0.00258700375981385,0.00562120489650914
188,0.004108042,0.9,0.00252399673276906,0.00568873018147853
189,0.0041086,0.9,0.00260226308159809,0.00565693327042059
190,0.004109159,0.9,0.00256040411697684,0.00567627059640321
191,0.004109736,0.9,0.00260739251498938,0.00568376688174069
192,0.004110313,0.9,0.00259020524961772,0.0056553832749068
193,0.00411089,0.9,0.00258836148560839,0.00563448224278667
194,0.004111467,0.9,0.0025544424835287,0.00568937672701517
195,0.004112039,0.9,0.00253876979604209,0.00559604606848911
196,0.004112611,0.9,0.00258162199557375,0.00569198946221737
197,0.004113182,0.9,0.00255536147687388,0.00558691981174808
198,0.004113754,0.9,0.00256915199803501,0.00563833456386022
199,0.004114319,0.9,0.00255563956895326,0.0055682344637461
200,0.004114884,0.9,0.00257964459549785,0.00563505778388153
201,0.004115468,0.9,0.00255180313388578,0.00555004960752229
202,0.004116052,0.9,0.00264253267560902,0.00565748876383042
203,0.004116636,0.9,0.00263407353655384,0.00565174501833438
204,0.004117219,0.9,0.00260074878400452,0.005665518074187
205,0.004117799,0.9,0.00265631089642639,0.00559609731211549
206,0.004118378,0.9,0.00255037520223295,0.00566719763026622
207,0.004118956,0.9,0.0025795539948985,0.00556982672882522
208,0.004119535,0.9,0.00261885160127537,0.00564600710843434
209,0.004120105,0.9,0.00261215256236266,0.00564081580066703
210,0.004120676,0.9,0.00261363214435784,0.00563938786998984
211,0.004121266,0.9,0.0025502987749659,0.00566725183597838
212,0.004121857,0.9,0.0025185226902758,0.0056445564168313
213,0.004122447,0.9,0.0024610364294885,0.00561502958919685
214,0.004123037,0.9,0.00258505779885216,0.00566398304565901
215,0.004123623,0.9,0.00266440453370856,0.00564553717066248
216,0.004124208,0.9,0.00264623299855627,0.00563753621732628
217,0.004124792,0.9,0.00269760600575615,0.00563829178937231
218,0.004125377,0.9,0.00262548877907458,0.00571025221592041
219,0.004125955,0.9,0.00247488297499044,0.00563562699264387
220,0.004126534,0.9,0.00260819335659048,0.00564257959836447
221,0.004127132,0.9,0.0026284139714925,0.00557577847061628
222,0.00412773,0.9,0.00256624245515041,0.00569712145209017
223,0.004128328,0.9,0.00252838932360157,0.00563609921727264
224,0.004128926,0.9,0.00258697098357398,0.00565462434942568
225,0.00412952,0.9,0.00267146994948187,0.00564957062275703
226,0.004130113,0.9,0.0025690871024657,0.00567124771668679
227,0.004130706,0.9,0.00263746148710339,0.00570993265904275
228,0.004131298,0.9,0.00269545912153161,0.0056260525598164
229,0.004131885,0.9,0.00258500589723674,0.00557420563462846
230,0.004132471,0.9,0.00272330147708655,0.00563324623295683
231,0.004133079,0.9,0.00263139282965765,0.00564916672356223
232,0.004133686,0.9,0.00261381912692553,0.00563007522976449
233,0.004134293,0.9,0.00258957921050377,0.0056541077281015
234,0.0041349,0.9,0.00257213037123513,0.00571570471718663
235,0.004135503,0.9,0.00262055850844311,0.00567702079519386
236,0.004136105,0.9,0.00262173553768681,0.00564406148199954
237,0.004136707,0.9,0.00259345665292197,0.00565594796402832
238,0.004137309,0.9,0.00262907471171837,0.00561763016482484
239,0.004137905,0.9,0.00262478746743737,0.00562228124327334
240,0.004138501,0.9,0.00261173060766133,0.0057056657833964
241,0.004139118,0.9,0.00265050206561903,0.00570943850561888
242,0.004139736,0.9,0.00263655187766426,0.00566799548102777
243,0.004140354,0.9,0.002512660424636,0.00569540347759957
244,0.004140972,0.9,0.00266550539369825,0.00567924995331543
245,0.004141585,0.9,0.00258537356726679,0.00560131217113828
246,0.004142198,0.9,0.00264521225307006,0.00565428332317285
247,0.00414281,0.9,0.0026129864722377,0.00565111598521976
248,0.004143423,0.9,0.00262426315208755,0.00565375039979766
249,0.004144029,0.9,0.00268584528053202,0.00562664350124976
250,0.004144635,0.9,0.00260277305517755,0.00567671185506602
251,0.004145263,0.9,0.00261558810891474,0.00567040585304722
252,0.00414589,0.9,0.00260996141830783,0.00559038138516231
253,0.004146518,0.9,0.00260725899054629,0.00569031111489248
254,0.004147145,0.9,0.00258538536877367,0.00563240877937448
255,0.004147769,0.9,0.00260215279030867,0.00565538881829994
256,0.004148391,0.9,0.00267261866523092,0.0057006800858535
257,0.004149013,0.9,0.00269007949348024,0.00564348282350341
258,0.004149636,0.9,0.00259159292173393,0.00569102948934381
259,0.004150252,0.9,0.00263870158440177,0.00565270572090353
260,0.004150868,0.9,0.00265239202353656,0.00563358022671369
261,0.004151506,0.9,0.00269017552991417,0.00567967360655563
262,0.004152144,0.9,0.00266609008857831,0.00562525398482843
263,0.004152782,0.9,0.00276132378291974,0.00565693212932584
264,0.004153419,0.9,0.002697644139423,0.00567902444516158
