Age,human
1097,17.8101267
1098,17.81040621
1099,17.81046297
1100,17.81029041
1101,17.80988193
1102,17.80923095
1103,17.80833086
1104,17.80717505
1105,17.80575688
1106,17.80406971
1107,17.8021069
1108,17.79986178
1109,17.79732769
1110,17.79470602
1111,17.79220107
1112,17.78981042
1113,17.78753168
1114,17.78536245
1115,17.78330031
1116,17.78134286
1117,17.77948767
1118,17.77773233
1119,17.77607441
1120,17.77451148
1121,17.7730411
1122,17.77166083
1123,17.77036823
1124,17.76916085
1125,17.76803624
1126,17.76699194
1127,17.76602549
1128,17.76513443
1129,17.76431627
1130,17.76356856
1131,17.7628888
1132,17.76227452
1133,17.76172322
1134,17.76123242
1135,17.76079961
1136,17.7604223
1137,17.76009798
1138,17.75982413
1139,17.75959825
1140,17.75941782
1141,17.7592803
1142,17.75918318
1143,17.75912392
1144,17.75909997
1145,17.75910882
1146,17.75914789
1147,17.75921465
1148,17.75930654
1149,17.759421
1150,17.75955547
1151,17.75970738
1152,17.75987415
1153,17.76005321
1154,17.76024198
1155,17.76043787
1156,17.76063829
1157,17.76084064
1158,17.76104233
1159,17.76124076
1160,17.76143331
1161,17.76161737
1162,17.76179032
1163,17.76194954
1164,17.76209241
1165,17.7622163
1166,17.76231857
1167,17.76239657
1168,17.76244768
1169,17.76246923
1170,17.76245858
1171,17.76241306
1172,17.76233002
1173,17.76220679
1174,17.76204069
1175,17.76182906
1176,17.76156922
1177,17.76125847
1178,17.76089413
1179,17.76047351
1180,17.7599939
1181,17.75945261
1182,17.75884694
1183,17.75817416
1184,17.75743156
1185,17.75661643
1186,17.75572603
1187,17.75475765
1188,17.75370854
1189,17.75257596
1190,17.75135718
1191,17.75004945
1192,17.74865001
1193,17.74715611
1194,17.74556499
1195,17.74387389
1196,17.74208003
1197,17.74018064
1198,17.73817294
1199,17.73605415
1200,17.73382148
1201,17.73147214
1202,17.72900333
1203,17.72641225
1204,17.7236961
1205,17.72085206
1206,17.71787733
1207,17.71476907
1208,17.71152448
1209,17.70814071
1210,17.70471377
1211,17.70134067
1212,17.69802014
1213,17.6947509
1214,17.69153167
1215,17.68836115
1216,17.68523807
1217,17.68216112
1218,17.67912903
1219,17.67614048
1220,17.6731942
1221,17.67028886
1222,17.66742319
1223,17.66459586
1224,17.66180558
1225,17.65905103
1226,17.65633091
1227,17.6536439
1228,17.65098868
1229,17.64836395
1230,17.64576837
1231,17.64320064
1232,17.64065941
1233,17.63814337
1234,17.63565119
1235,17.63318153
1236,17.63073307
1237,17.62830446
1238,17.62589437
1239,17.62350146
1240,17.62112438
1241,17.61876179
1242,17.61641235
1243,17.6140747
1244,17.6117475
1245,17.60942938
1246,17.60711899
1247,17.60481498
1248,17.60251598
1249,17.60022062
1250,17.59792756
1251,17.5956354
1252,17.5933428
1253,17.59104837
1254,17.58875073
1255,17.58644852
1256,17.58414035
1257,17.58182485
1258,17.57950062
1259,17.57716628
1260,17.57482045
1261,17.57246173
1262,17.57008874
1263,17.56770006
1264,17.56529432
1265,17.5628701
1266,17.56042601
1267,17.55796064
1268,17.55547259
1269,17.55296044
1270,17.55042278
1271,17.54785821
1272,17.54526531
1273,17.54264265
1274,17.53998882
1275,17.53730239
1276,17.53458194
1277,17.53182605
1278,17.52903328
1279,17.5262022
1280,17.52333138
1281,17.52041937
1282,17.51746475
1283,17.51446607
1284,17.51142189
1285,17.50833076
1286,17.50519123
1287,17.50200186
1288,17.49876119
1289,17.49546776
1290,17.49212012
1291,17.48871681
1292,17.48525637
1293,17.48173734
1294,17.47815824
1295,17.47451761
1296,17.47081398
1297,17.46704587
1298,17.46321181
1299,17.45931032
1300,17.45533993
1301,17.45129914
1302,17.44718647
1303,17.44300045
1304,17.43873956
1305,17.43440234
1306,17.42998727
1307,17.42549288
1308,17.42091764
1309,17.41626007
1310,17.41151867
1311,17.40677546
1312,17.40211221
1313,17.39752703
1314,17.39301803
1315,17.38858329
