"Age","Mean","CI","Infe","Supe"
1669,0.604846172,0.9,0.562921905112027,0.648105683974392
1670,0.603472698,0.9,0.55953407694531,0.644541033537173
1671,0.602100445,0.9,0.556237303545218,0.644758111496157
1672,0.600728503,0.9,0.557954804900079,0.643439915968457
1673,0.599851701,0.9,0.558808751796255,0.640947163351559
1674,0.598974765,0.9,0.554324365953354,0.643668879237838
1675,0.598097734,0.9,0.553764197713604,0.641949353808918
1676,0.597220466,0.9,0.551373357953172,0.640661772225006
1677,0.596728809,0.9,0.551877806586622,0.638436792537502
1678,0.596013995,0.9,0.551373927562769,0.639922828387181
1679,0.595316516,0.9,0.550866885899804,0.639653395847944
1680,0.594618986,0.9,0.550877201695841,0.641659497467322
1681,0.59392238,0.9,0.549304927780216,0.639974083356254
1682,0.593225722,0.9,0.548751354217627,0.637868087377302
1683,0.59252905,0.9,0.545459263874077,0.640198084282079
1684,0.591832319,0.9,0.545776389953872,0.63830129241583
1685,0.591864578,0.9,0.547484359548418,0.63881278224304
1686,0.591896948,0.9,0.545143685271961,0.63701330364896
1687,0.591929508,0.9,0.549484061736994,0.634321601372783
1688,0.591962248,0.9,0.547454325819367,0.634751745569355
1689,0.591995343,0.9,0.54880455035366,0.634035990162523
1690,0.592023017,0.9,0.548982133218583,0.635640044939575
1691,0.592051814,0.9,0.54793549302109,0.634735769975573
1692,0.592080814,0.9,0.550322615444161,0.635284297371654
1693,0.592109984,0.9,0.551232979581153,0.635662430423852
1694,0.592139356,0.9,0.550544802989344,0.635522915023335
1695,0.592168888,0.9,0.549389570284797,0.632507662932086
1696,0.592198575,0.9,0.550589369211271,0.630715168540814
1697,0.592228436,0.9,0.550697434689732,0.634433198629253
1698,0.592258499,0.9,0.552450392044783,0.632633369220483
1699,0.59350558,0.9,0.553455905275989,0.633978702056677
1700,0.594752788,0.9,0.552283780521087,0.634254004909677
1701,0.596000995,0.9,0.555091405204486,0.639303564129515
1702,0.597249305,0.9,0.553826095260765,0.639056132830993
1703,0.598432622,0.9,0.55661451662828,0.641778876179862
1704,0.599615942,0.9,0.554524667072328,0.642547374937348
1705,0.600799255,0.9,0.555653185978592,0.642047395285006
1706,0.601982516,0.9,0.558406863947599,0.648045976878895
1707,0.603237946,0.9,0.557998181714658,0.649631249163553
1708,0.604493319,0.9,0.55948380628701,0.649728349818095
1709,0.605748817,0.9,0.559212747090106,0.652555431962947
1710,0.607004238,0.9,0.555287815723448,0.655470222768043
1711,0.60826061,0.9,0.557156618433198,0.657660283818387
1712,0.609516932,0.9,0.55844635531045,0.661582237132326
1713,0.610773192,0.9,0.563243419737572,0.660791257980146
1714,0.6120294,0.9,0.559458839728733,0.664366250252248
1715,0.613700497,0.9,0.563378451775802,0.669637851602243
1716,0.615371412,0.9,0.565392352421731,0.668616483626651
1717,0.617042155,0.9,0.558717512244776,0.67411137923804
