Age,AnnTemp,,,
3274.5,-0.033386601,,,
3284.5,-0.044603075,,,
3294.5,-0.046288237,,,
3304.5,-0.08148664,,,
3314.5,-0.085512438,,,
3324.5,-0.057325754,,,
3334.5,-0.060015447,,,
3344.5,-0.068292766,,,
3354.5,-0.09117951,,,
3364.5,-0.108765633,,,
3374.5,-0.093066083,,,
3384.5,-0.096878265,,,
3394.5,-0.093968222,,,
3404.5,-0.092238915,,,
3414.5,-0.101549335,,,
3424.5,-0.098249564,,,
3434.5,-0.085610232,,,
3444.5,-0.099308014,,,
3454.5,-0.105779569,,,
3464.5,-0.201796425,,,
3474.5,-0.23385764,,,
3484.5,-0.224960398,,,
3494.5,-0.119720627,,,
3504.5,-0.095586315,,,
3514.5,-0.106471866,,,
3524.5,-0.086804395,,,
3534.5,-0.06103571,,,
3544.5,-0.064008586,,,
3554.5,-0.048135108,,,
3564.5,-0.045781025,,,
3574.5,-0.038099842,,,
3584.5,-0.046448688,,,
3594.5,-0.035663325,,,
3604.5,-3.20E-03,,,
3614.5,0.012052413,,,
3624.5,0.021966364,,,
3634.5,0.027944669,,,
3644.5,-3.95E-03,,,
3654.5,-0.013252051,,,
3664.5,-0.036887682,,,
3674.5,-1.14E-03,,,
3684.5,0.010215017,,,
3694.5,5.30E-03,,,
3704.5,-0.039664714,,,
3714.5,-0.078742229,,,
3724.5,-0.106223187,,,
3734.5,-0.129821341,,,
3744.5,-0.150274618,,,
3754.5,-0.15491998,,,
3764.5,-0.128905423,,,
3774.5,-0.055770749,,,
3784.5,-0.059384347,,,
3794.5,-0.073925156,,,
3804.5,-0.094315485,,,
3814.5,-0.068050204,,,
3824.5,-0.074382315,,,
3834.5,-0.047921349,,,
3844.5,-0.04958173,,,
3854.5,-0.054438887,,,
3864.5,-0.040477332,,,
3874.5,-0.022492988,,,
3884.5,-0.017107959,,,
3894.5,0.030366004,,,
3904.5,0.047025689,,,
3914.5,0.040873082,,,
3924.5,0.035733488,,,
3934.5,0.043040957,,,
3944.5,0.040940019,,,
3954.5,0.029039151,,,
3964.5,-2.43E-03,,,
3974.5,-0.037077176,,,
3984.5,-0.036581717,,,
3994.5,-0.031847036,,,
4004.5,-0.037606015,,,
4014.5,-0.045806661,,,
4024.5,-0.057650568,,,
4034.5,-0.062238827,,,
4044.5,-0.062094098,,,
4054.5,-0.074723061,,,
4064.5,-0.084741777,,,
4074.5,-0.06111858,,,
4084.5,-3.77E-03,,,
4094.5,9.41E-03,,,
4104.5,4.56E-03,,,
4114.5,-0.081082742,,,
4124.5,-0.11484459,,,
4134.5,-0.11868218,,,
4144.5,-0.050202187,,,
4154.5,-0.05685602,,,
4164.5,-0.062545256,,,
4174.5,-0.062554176,,,
4184.5,-0.07028918,,,
4194.5,-0.061358632,,,
4204.5,-0.036433238,,,
4214.5,-0.037341892,,,
4224.5,-0.019237124,,,
4234.5,7.62E-03,,,
4244.5,-4.28E-03,,,
4254.5,-7.78E-03,,,
4264.5,6.51E-03,,,
4274.5,0.025519694,,,
4284.5,0.062749793,,,
4294.5,0.067112605,,,
4304.5,0.082433422,,,
4314.5,0.115570523,,,
4324.5,0.118876943,,,
4334.5,0.122149265,,,
4344.5,0.117466132,,,
4354.5,0.10793707,,,
4364.5,0.105514937,,,
4374.5,0.074223103,,,
4384.5,0.068114016,,,
4394.5,0.048894286,,,
4404.5,0.040858484,,,
4414.5,0.04585613,,,
4424.5,0.072451253,,,
4434.5,0.068844572,,,
4444.5,0.046955999,,,
4454.5,9.70E-03,,,
4464.5,0.021359446,,,
4474.5,0.034534432,,,
4484.5,0.032886796,,,
4494.5,0.041773241,,,
4504.5,0.046649514,,,
4514.5,-0.045025967,,,
4524.5,-0.07006872,,,
4534.5,-0.056610269,,,
4544.5,4.54E-03,,,
4554.5,0.039949405,,,
4564.5,0.078232234,,,
4574.5,0.078890765,,,
4584.5,0.103317717,,,
4594.5,0.120136073,,,
4604.5,0.107557474,,,
