Profondeur,Abies,Juniperus,Larix,Picea,Pinus,Tsuga,Acer,Alnus,Betula,Carpinus,Corylus,Fraxinus,Nyssa,Populus,Quercus,Salix,Tilia,Ulmus,Agoseris,Ambrosia,Artemesia,Asteraceae,Brassicaceae,Carya,Chenopodiaceae,Cyperaceae,Epilobium,Ericaceae,Galium,Lycopod,Myrica,Phytolithe,Poaceae,Rosaceae,Sarcobatus,Thalictrum,Typha,Spore monolete ,Spore trilete,Aquatics
860,0,0,0,0.918367347,55.10204082,0,0,3.979591837,20.20408163,0,0.306122449,0.306122449,0,0.918367347,3.979591837,0.306122449,0,0,0,0.306122449,0.918367347,0.612244898,0,0,1.224489796,1.224489796,0,0,0,0.306122449,0.612244898,0,4.897959184,0,0,0,0,0,0,0.306122449
870,0,0,0,1.876955162,51.61626694,0,0,3.441084463,16.26694473,0,0,0.625651721,0,0.938477581,6.569343066,0.938477581,0,0,0,1.564129301,1.564129301,0.938477581,0,0,1.251303441,0.938477581,0,0,0,0,0.625651721,0.625651721,5.630865485,0,0.625651721,0,1.251303441,0,0,0.625651721
880,0,0,0,1.931330472,49.24892704,0,0,5.150214592,18.99141631,0,0,0.643776824,0,1.60944206,8.0472103,0.321888412,0,0.643776824,0,0.643776824,2.253218884,0.643776824,0,0,0.321888412,0.321888412,0,0,0,0,0,0,5.150214592,0.321888412,0,0,0.643776824,0,0,0.321888412
890,0,0,0.315789474,1.578947368,49.89473684,0,0,1.263157895,18.94736842,0,0,0,0,0.631578947,13.57894737,0,0,1.263157895,0,1.263157895,1.578947368,0.631578947,0,0,1.578947368,0.631578947,0,0,0,0,0.947368421,0.315789474,2.842105263,0,0.315789474,0.315789474,0.315789474,0,0,0
900,0,0.652173913,0.326086957,0.652173913,55.10869566,0,0,5.217391304,9.782608696,0,0,0.326086957,0.326086957,0.97826087,8.152173913,0,0,1.630434783,0,0.97826087,3.260869565,0.97826087,0.326086957,0,1.630434783,1.956521739,0,0,0,0,0.326086957,0,6.52173913,0,0,0,0.97826087,0,0,0
910,0,0.319829424,0,1.918976546,50.21321961,0,0,1.599147122,11.19402985,0,0,0.639658849,0,0.959488273,10.23454158,0.319829424,0,1.918976546,0,2.878464819,1.599147122,0.639658849,0,0,2.23880597,1.599147122,0,0,0,0,0.319829424,0,7.995735608,0,0,0,1.279317697,0,0,0
920,0,0.328947368,0.328947368,0.328947368,47.03947368,0,0,3.618421053,17.76315789,0,0,0.657894737,0,0,11.51315789,0.657894737,0,0.986842105,0,3.947368421,2.631578947,0.328947368,0,0,0.657894737,2.302631579,0,0,0,0,0.657894737,0,4.276315789,0,0,0,0.986842105,0,0,0
930,0,0.305810398,0,0.611620795,48.62385321,0,0,0.611620795,16.81957187,0,0,0,0,0,10.09174312,0,0,1.22324159,0,2.44648318,1.529051988,2.44648318,0,0,2.44648318,2.140672783,0,0,0,0,0.305810398,0,6.422018349,0,0.305810398,0,0.917431193,0,0,1.22324159
940,0,0,0.609756098,0.609756098,66.46341463,0,0,0.304878049,7.62195122,0,0,0.304878049,0,0,7.012195122,0.304878049,0,0.609756098,0,1.219512195,1.219512195,0.304878049,0,0,2.43902439,0.914634146,0,0,0,0,0.304878049,0,5.182926829,0,0.304878049,0,0.609756098,0,0,0.914634147
950,0,0.959488273,0,1.279317697,56.28997868,0,0.319829424,2.558635394,8.315565032,0,0,0.639658849,0,0,11.51385928,0,0,1.279317697,0,1.918976546,1.279317697,0.639658849,0,0,2.558635394,0.959488273,0,0,0,0,0.639658849,0,5.756929638,0,0,0,0.959488273,0,0,0.959488273
960,0,0.927835052,0.618556701,2.474226804,48.55670103,0,0,1.237113402,14.53608247,0,0,0,0,0,8.041237113,0.927835052,0,1.855670103,0,3.711340206,1.546391753,0.618556701,0,0,0.618556701,2.164948454,0,0,0,0,0.618556701,0,8.659793814,0,0.309278351,0,1.546391753,0,0,0.618556701
